latitude,longitude,name,security,strength
44.939282,-93.299691,Main,3,42
44.939282,-93.299691,USI-Fiber_2EE8,3,43
44.939282,-93.299691,xfinitywifi,0,37
44.939282,-93.299691,Fuzznet,3,41
44.939282,-93.299691,Fuzznet Guest Network,3,41
44.939282,-93.299691,usiw_secure,3,39
44.939282,-93.299691,usiw_secure_S13N116T1,3,41
44.939282,-93.299691,!USI Fiber Available!,0,41
44.939282,-93.299691,City of Minneapolis Public WiFi,0,43
44.939282,-93.299691,myqwest4501,3,34
44.939282,-93.299691,USI Wireless,0,42
44.939282,-93.299691,brandtfontaine1445,3,45
44.939282,-93.299691,Kronkd,3,42
44.939282,-93.299691,Holman Kingdom,3,37
44.939282,-93.299691,Blakelywifi-2.4,3,37
44.939282,-93.299691,Annie Fontaine's Network,3,38
44.939290,-93.299723,Main,3,35
44.939290,-93.299723,USI-Fiber_2EE8,3,47
44.939290,-93.299723,Fuzznet Guest Network,3,39
44.939290,-93.299723,City of Minneapolis Public WiFi,0,48
44.939290,-93.299723,HOME-F172,3,37
44.939290,-93.299723,xfinitywifi,0,37
44.939290,-93.299723,usiw_secure,3,46
44.939290,-93.299723,usiw_secure_S13N012T2,3,47
44.939290,-93.299723,USI Wireless,0,46
44.939290,-93.299723,USI_Fiber-33C3 2.4G,3,41
44.939290,-93.299723,brandtfontaine1445,3,44
44.939290,-93.299723,Kronkd,3,38
44.939290,-93.299723,usiw_secure_S13N142T1,3,43
44.939290,-93.299723,!USI Fiber Available!,0,43
44.939290,-93.299723,Holman Kingdom,3,38
44.939290,-93.299723,Annie Fontaine's Network,3,38
44.939290,-93.299723,HOME-DC12,3,47
44.939290,-93.299723,usiw_secure_S13N116T1,3,44
44.939290,-93.299723,Brotel Brolifornia,3,38
44.939290,-93.299723,Fuzznet,3,39
44.939380,-93.299414,CenturyLink7827,3,45
44.939380,-93.299414,Main,3,40
44.939380,-93.299414,xfinitywifi,0,43
44.939380,-93.299414,USI-Fiber_2EE8,3,44
44.939380,-93.299414,Blakelywifi-2.4,3,43
44.939380,-93.299414,TheGopherHole,3,45
44.939380,-93.299414,usiw_secure,3,36
44.939380,-93.299414,usiw_secure_S13N012T2,3,57
44.939380,-93.299414,City of Minneapolis Public WiFi,0,47
44.939380,-93.299414,USI Wireless,0,40
44.939380,-93.299414,usiw_secure_S13N116T1,3,43
44.939380,-93.299414,!USI Fiber Available!,0,56
44.939380,-93.299414,Kronkd,3,38
44.939380,-93.299414,myqwest4501,3,35
44.939380,-93.299414,brandtfontaine1445,3,44
44.939445,-93.298991,CenturyLink7827,3,39
44.939445,-93.298991,xfinitywifi,0,38
44.939445,-93.298991,happyhome,3,39
44.939445,-93.298991,usiw_secure,3,53
44.939445,-93.298991,!USI Fiber Available!,0,53
44.939445,-93.298991,usiw_secure_S13N116T1,3,53
44.939445,-93.298991,USI Wireless,0,53
44.939445,-93.298991,City of Minneapolis Public WiFi,0,53
44.939445,-93.298991,CenturyLink7069,3,39
44.939445,-93.298991,usiw_secure_S13N012T2,3,60
44.939445,-93.298991,MattandKatie,3,39
44.939445,-93.298991,HOME-9C77-2.4,3,40
44.939445,-93.298991,Wanda,3,36
44.939445,-93.298991,Main,3,39
44.939445,-93.298991,WaveSalon-Guest,3,38
44.939445,-93.298991,WaveSalon,3,39
44.939445,-93.298991,NiceCedar,3,44
44.939445,-93.298991,NiceCedar-guest,0,44
44.939510,-93.298551,happyhome,3,46
44.939510,-93.298551,usiw_secure,3,42
44.939510,-93.298551,usiw_secure_S13N012T2,3,63
44.939510,-93.298551,!USI Fiber Available!,0,43
44.939510,-93.298551,USI Wireless,0,62
44.939510,-93.298551,City of Minneapolis Public WiFi,0,63
44.939510,-93.298551,WAV-Voice,3,39
44.939510,-93.298551,WaveSalon-Guest,3,45
44.939510,-93.298551,WaveSalon,3,39
44.939510,-93.298551,NiceCedar,3,40
44.939510,-93.298551,NiceCedar-guest,0,40
44.939510,-93.298551,Chocolate2,3,36
44.939510,-93.298551,CenturyLink3379,3,39
44.939795,-93.298454,NETGEAR23,3,47
44.939795,-93.298454,HOME-FEB8-2.4,3,51
44.939795,-93.298454,xfinitywifi,0,40
44.939795,-93.298454,HOME-27D4,3,54
44.939795,-93.298454,!USI Fiber Available!,0,59
44.939795,-93.298454,City of Minneapolis Public WiFi,0,49
44.939795,-93.298454,linksys,2,38
44.939795,-93.298454,Test USI,3,48
